,raw,label,raw_clean,raw_casefolding,raw_tokenizing,raw_filtering,raw_normalisasi,raw_stimming,Ready
0,Ok,1,Ok,ok,['ok'],['ok'],['ok'],['ok'],ok
1,"Kirain udah di upgrade malah tambah bagus dan gampang kayak dulu ehh ternyata semakin sulit, pas upgrade ke full service nya",-1,Kirain udah di upgrade malah tambah bagus dan gampang kayak dulu ehh ternyata semakin sulit pas upgrade ke full service nya,kirain udah di upgrade malah tambah bagus dan gampang kayak dulu ehh ternyata semakin sulit pas upgrade ke full service nya,"['kirain', 'udah', 'di', 'upgrade', 'malah', 'tambah', 'bagus', 'dan', 'gampang', 'kayak', 'dulu', 'ehh', 'ternyata', 'semakin', 'sulit', 'pas', 'upgrade', 'ke', 'full', 'service', 'nya']","['kirain', 'udah', 'upgrade', 'bagus', 'gampang', 'kayak', 'ehh', 'sulit', 'pas', 'upgrade', 'full', 'service']","['kirain', 'sudah', 'upgrade', 'bagus', 'gampang', 'seperti', 'ehh', 'sulit', 'pas', 'upgrade', 'full', 'service']","['kirain', 'sudah', 'upgrade', 'bagus', 'gampang', 'seperti', 'ehh', 'sulit', 'pas', 'upgrade', 'full', 'service']",kirain sudah upgrade bagus gampang seperti ehh sulit pas upgrade full service
2,Mantap,1,Mantap,mantap,['mantap'],['mantap'],['mantap'],['mantap'],mantap
3,Semoga Kedepanya Transfer Uang Ke Bank Lain GRATIS TIS TIS,1,Semoga Kedepanya Transfer Uang Ke Bank Lain GRATIS TIS TIS,semoga kedepanya transfer uang ke bank lain gratis tis tis,"['semoga', 'kedepanya', 'transfer', 'uang', 'ke', 'bank', 'lain', 'gratis', 'tis', 'tis']","['semoga', 'kedepanya', 'transfer', 'uang', 'bank', 'gratis', 'tis', 'tis']","['semoga', 'kedepanya', 'transfer', 'uang', 'bank', 'gratis', 'tis', 'tis']","['moga', 'depa', 'transfer', 'uang', 'bank', 'gratis', 'tis', 'tis']",moga depa transfer uang bank gratis tis tis
4,Kok error tidak bisa melakukan pengiriman uang? Sudah dari tidak bisa karena transaksi error,1,Kok error tidak bisa melakukan pengiriman uang Sudah dari tidak bisa karena transaksi error,kok error tidak bisa melakukan pengiriman uang sudah dari tidak bisa karena transaksi error,"['kok', 'error', 'tidak', 'bisa', 'melakukan', 'pengiriman', 'uang', 'sudah', 'dari', 'tidak', 'bisa', 'karena', 'transaksi', 'error']","['error', 'pengiriman', 'uang', 'transaksi', 'error']","['error', 'pengiriman', 'uang', 'transaksi', 'error']","['error', 'kirim', 'uang', 'transaksi', 'error']",error kirim uang transaksi error
5,Ni aplikasi kasih bintang 1000 aja tp aplikasi ini aplikasi sakit,1,Ni aplikasi kasih bintang aja tp aplikasi ini aplikasi sakit,ni aplikasi kasih bintang aja tp aplikasi ini aplikasi sakit,"['ni', 'aplikasi', 'kasih', 'bintang', 'aja', 'tp', 'aplikasi', 'ini', 'aplikasi', 'sakit']","['ni', 'aplikasi', 'kasih', 'bintang', 'tp', 'aplikasi', 'aplikasi', 'sakit']","['ni', 'aplikasi', 'kasih', 'bintang', 'tetapi', 'aplikasi', 'aplikasi', 'sakit']","['ni', 'aplikasi', 'kasih', 'bintang', 'tetapi', 'aplikasi', 'aplikasi', 'sakit']",ni aplikasi kasih bintang tetapi aplikasi aplikasi sakit
6,Mohon di bantu untuk pengajuan FULL SERVICE DI APLIKASI LinkAja Telah berulang kali coba upgrade belum di proses menjadi FULL SERVICE,1,Mohon di bantu untuk pengajuan FULL SERVICE DI APLIKASI LinkAja Telah berulang kali coba upgrade belum di proses menjadi FULL SERVICE,mohon di bantu untuk pengajuan full service di aplikasi linkaja telah berulang kali coba upgrade belum di proses menjadi full service,"['mohon', 'di', 'bantu', 'untuk', 'pengajuan', 'full', 'service', 'di', 'aplikasi', 'linkaja', 'telah', 'berulang', 'kali', 'coba', 'upgrade', 'belum', 'di', 'proses', 'menjadi', 'full', 'service']","['mohon', 'bantu', 'pengajuan', 'full', 'service', 'aplikasi', 'linkaja', 'berulang', 'kali', 'coba', 'upgrade', 'proses', 'full', 'service']","['mohon', 'bantu', 'pengajuan', 'full', 'service', 'aplikasi', 'linkaja', 'berulang', 'kali', 'coba', 'upgrade', 'proses', 'full', 'service']","['mohon', 'bantu', 'aju', 'full', 'service', 'aplikasi', 'linkaja', 'ulang', 'kali', 'coba', 'upgrade', 'proses', 'full', 'service']",mohon bantu aju full service aplikasi linkaja ulang kali coba upgrade proses full service
7,Upgrade ke Full Service gagal trs,-1,Upgrade ke Full Service gagal trs,upgrade ke full service gagal trs,"['upgrade', 'ke', 'full', 'service', 'gagal', 'trs']","['upgrade', 'full', 'service', 'gagal', 'trs']","['upgrade', 'full', 'service', 'gagal', 'terus']","['upgrade', 'full', 'service', 'gagal', 'terus']",upgrade full service gagal terus
8,Aplikasi jelek tidak bisa transfer uang,-1,Aplikasi jelek tidak bisa transfer uang,aplikasi jelek tidak bisa transfer uang,"['aplikasi', 'jelek', 'tidak', 'bisa', 'transfer', 'uang']","['aplikasi', 'jelek', 'transfer', 'uang']","['aplikasi', 'jelek', 'transfer', 'uang']","['aplikasi', 'jelek', 'transfer', 'uang']",aplikasi jelek transfer uang
9,Good,1,Good,good,['good'],['good'],['good'],['good'],good
