Unnamed: 0,raw,label
0,Ok,1
1,"Kirain udah di upgrade malah tambah bagus dan gampang kayak dulu ehh ternyata semakin sulit, pas upgrade ke full service nya",-1
2,Mantap,1
3,Semoga Kedepanya Transfer Uang Ke Bank Lain GRATIS TIS TIS,1
4,Kok error tidak bisa melakukan pengiriman uang? Sudah dari tidak bisa karena transaksi error,1
5,Ni aplikasi kasih bintang 1000 aja tp aplikasi ini aplikasi sakit,1
6,Mohon di bantu untuk pengajuan FULL SERVICE DI APLIKASI LinkAja Telah berulang kali coba upgrade belum di proses menjadi FULL SERVICE,1
7,Upgrade ke Full Service gagal trs,-1
8,Aplikasi jelek tidak bisa transfer uang,-1
9,Good,1
10,Tolong bantu verivikasi akun email untuk reset pin,-1
11,maff orng yg membuat nya kurang hebat,-1
12,Mudah penggunaannya,1
13,hadeh susah banget sekarang upgrade ...foto nya susah ...gagal mulu,-1
14,"Terlalu ribet, semua udah diikuti masih gagal juga, ktp dah di upload foto juga udah diikuti",-1
15,nice,1
16,"Mau daftar ajah di persulit,gimana mau pake ni aplikasi,jadi gak guna",-1
17,"Mau daftar Awal dibuat susah,kemudian mau upgrade ke full service susahnya nauzubillah, sudah geleng geleng kanan kiri,celangap2 mulut,senyam senyum, masih aje kaga bisa, bagaimana ini jika pas darurat.",-1
18,sangat mambantu dan baik,1
19,"Aneh,sering gangguan & buat tranksaksi juga gagal mulu",-1
20,Padahal kode pinya benar tapi gak bisa masuk,-1
21,Knp saya gak bsa upgrade min,1
22,"Kecewa banget, sdh 6 kali masukkan data lengkap masih ga bisa juga upgrade service full, uang sdh gua transfer lagi, cmn mempersulit aja hadehh",-1
23,Siiipp,1
24,Linkaja sangat membantu dlm krim uang dan tarik tunai isi pulsa dan masih banyak manfaat lain nya,1
25,Baik,1
26,Oke,1
27,"akun udah full service Ngga bisa tranfer parah banget saldo gw ada 150k mau tf ke bank bca atau bank lain 100k jawaban dari link ajah maaf saat kami tidak dapat memperoses permintaan kamu, silahkan coba lagi. Info lebih lanjut ke email ke link. Terus terusan bgtu wkwk dari lama jadi mls nyesel gw isi saldo di link dan buka rekening",-1
28,ð,1
29,"Saldo sempet ngga masuk, sudah lapor ke linkaja dan dapat ditindaklanjuti dengan cepat. Makasi banyak",1
30,sangat membantu,1
31,Sep,1
32,"Saya 2 kali kecewa dgn link aj... Pertama transaksi pending dri bln Desember, kemarin lagi beli paket telpon Telkomsel... Saldo sdh di potong tapi paket telpon Telkomsel nya bln masuk",-1
33,"Upgrade ke full servicenya susah, perasaan data yang saya pakai sama aja saat daftar di aplikasi manapun, cuma ini linkaja yang verifikasinya susah",-1
34,"Parah banget, udah ngisi saldo tapi gak bsa buat ngirim dan harus upgred giliran di udh ngisi data gagal terus, parah amat sih, udah ngisi saldo malah ga bisa",-1
35,"Aplikasi yang digunakan penipuan diorderan fiktif GOSHOP. Pihak developer nya masih dungu dan tutup mata. Saya driver gojek yang pernah kena tipu 150 rb topup via indomaret. Nyari duit 150 rb capeknya kayak apa coba digojek. Call center ditelpon cuma menguras pulsa aja, kalo pulsa habis gak ditelpon balik dan gak ada solusi. Benahi woy aplikasinya. Minimal kalo topup via indomaret ada atas nama PENERIMAnya. Kalo masih gini-gini aja gak ada bedanya developer sama penipu.",-1
36,Gooods...link aj transaksi apa2 mudah trimakasih,1
37,burukk otp aja sampe 1 jam gak nyampe2 apalagi top up,-1
38,Mantap ..,1
39,Sdh sangat bagus....cb ada paket smsx jg bosq,1
40,Manfaat,1
41,Linkaja sangat membantu untuk dompet digital,1
42,Top Bangets,1
43,Top,1
44,Mantap,1
45,Good,1
46,Cepat,1
47,Aplikasi yg bagus utk smua kebutuhan digital.....,1
48,Cara nya supaya di mudahkan lagi.,1
49,Sangat membantu dlm bertransaksi di rmh.,1
50,Sangat membantu sekali.....trmksh link,1
51,"Sudah beberapa kali transaksi sukses tetapi pelanggan tidak menerima dan mereka komplain juga tidak tahu apakah uang kami kembali atau tidak. Pengaduan terlalu rumit, lebih baik gunakan WA saja!!.. mengecewakan sangat...... .",-1
52,Sangat mbantu dan cepat Skali transaksinya serta murah,1
53,Good,1
54,"Aplikasi ini sangat memudahkan bagi pengguna/konsumen yang tidak sempat melakukan transaksi dll di luar, cukup dari rumah, beres. Thankyou semakin amanah dan sukses",1
55,Berguna,1
56,Aplikasi baik,1
57,Aplikasinya bagus.... Udh lama pake linkaja,1
58,good,1
59,Ewallet paling busuk. Setiap jam 12 malem pasti gak bisa dipake. Ditambah transfer pake pending. Cs nya lama menindaklanjuti keluhan. Saya transfer 700rb ke bank tidak masuk. Saldo sudah kepotong. Segera kembalikan saldo sayaa . Setelah ini saya unistal ewallet ini.,-1
60,TRX menjadi lebih mudah dan simple,1
61,Alhamdulillah Thanks udah diperbaiki LinkAja Top.,1
